"Story","Title","Result","Date","Stability","Duration (s)"
"Consultar Clima de ciudades","Consultar clima por ciudad y pais","PENDING","2022-02-04T21:07:07.549-05:00[America/Bogota]","0.0","0.02"
"Consultar Clima por estados","Consultar por codigo los climas de los estados","PENDING","2022-02-04T21:07:07.574-05:00[America/Bogota]","0.0","0.02"
"Looking up post codes","Looking up US locations by post code","ERROR","2022-02-04T21:07:07.61-05:00[America/Bogota]","0.0","4.38"
"Consultar Temperatura","Consultar la temperatura en Fahrenheit","PENDING","2022-02-04T21:07:11.994-05:00[America/Bogota]","0.0","0.01"
"Consultar Temperatura","Consultar la temperatura en Celsius","PENDING","2022-02-04T21:07:12.01-05:00[America/Bogota]","0.0","0.01"
"Consultar Temperatura","Consultar la temperatura en Kelvin","PENDING","2022-02-04T21:07:12.028-05:00[America/Bogota]","0.0","0.01"
"almacenamiento de estadistica del clima en un basket","almacenar estadisticas del clima en un basket","SUCCESS","2022-02-06T20:49:33.471-05:00[America/Bogota]","0.0","4.7"
"Consultar Clima de ciudades de cada continente","Consultar clima de diferentes ciudades de cada continente","PENDING","2022-02-06T18:42:01.301-05:00[America/Bogota]","0.0","0.17"
"consulta de datos metereologicos para cualquier ubicacion en la tierra","Obtener la temperatura en diferente unidades","ERROR","2022-02-06T20:57:12.51-05:00[America/Bogota]","0.0","2.28"
"consulta de datos metereologicos para cualquier ubicacion en la tierra","consultar el estado del clima por codigo de estado en USA","ERROR","2022-02-06T20:57:14.797-05:00[America/Bogota]","0.0","1.97"
"consulta de datos metereologicos para cualquier ubicacion en la tierra","Consultar el estado del clima por ciudad y pais","ERROR","2022-02-06T20:57:16.776-05:00[America/Bogota]","0.0","1.0"
"consulta de datos metereologicos para cualquier ubicacion en la tierra","Consultar el estado del clima por ciudad y sin pais","ERROR","2022-02-06T20:57:17.779-05:00[America/Bogota]","0.0","0.5"
"consulta de datos metereologicos para cualquier ubicacion en la tierra","Consultar el estado del clima por coordenadas geograficas","ERROR","2022-02-06T20:57:18.28-05:00[America/Bogota]","0.0","0.98"
"consulta de datos metereologicos para cualquier ubicacion en la tierra","Consultar el estado del clima por codigo zip","ERROR","2022-02-06T20:57:19.262-05:00[America/Bogota]","0.0","0.97"
"consulta de datos metereologicos para cualquier ubicacion en la tierra","consultar el clima por ciudades en diferentes continentes","ERROR","2022-02-06T21:08:58.512-05:00[America/Bogota]","0.0","6.22"
